S.No.,Item,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025(Feb)
1,Total Fleet,3476.0,3454.0,3436.0,3347.0,3420.0
2,Average age of Bus,7.08,8.06,9.04,9.61,7.38
3,New Buses put on road,0.0,0.0,0.0,66.0,715.0
4,Effective Kms (in Lakhs),1304.6,2000.63,2357.83,2433.41,2410.03
5,Km travel / Day,252.0,253.0,255.0,254.0,253.0
6,% of fleet utilization,40.08,62.52,73.58,76.45,83.92
7,% of occupancy,41.12,55.53,74.15,74.37,70.96
8,Breakdown,49.0,30.0,39.0,32.0,32.0
9,Passengers / Day (In Lakhs),11.32,28.7,30.17,31.27,32.12
